0.0000000000000000 1:-0.9784986098239111 2:-0.48571428571428577 3:-0.5882352941176472 4:-0.763265306122449 5:-0.48571428571428577 6:-0.9563492063492064 7:-0.8442105263157895 8:-0.7024790389831073 9:-0.9227941176470589 10:-0.8000553863195792 11:-0.966183160243756 12:-0.8935574229691877 13:-0.8141923436041083 14:-0.7756911841418883 15:-0.27891566265060264 16:-0.71900826446281 17:-0.4057650990276189 18:-0.3791883215455575 19:-0.5104530975644677 20:-0.7593552620245381 21:-0.654579451585245 22:-0.6813535052072777 23:-0.5935960853507893 24:-0.9001596511227179 25:-0.9863796586302982 26:-1.0 27:0.8909090909090909 28:0.18588478402518938 29:-0.9480005697698116 30:-0.926653950142752
0.0000000000000000 1:-0.9981584876089726 2:-0.3999999999999999 3:-0.7104072398190043 4:-0.6615384615384614 5:-0.3999999999999999 6:-0.7304526748971194 7:-0.8421052631578947 8:-0.7152446597351723 9:-0.8784722222222222 10:-0.6881159420289853 11:-0.9553058357808709 12:-0.438375350140056 13:-0.6062554576486465 14:-0.7356247577206357 15:-0.3176706827309238 16:-0.6294765840220384 17:-0.4096719049689679 18:-0.4586204812048049 19:-0.3872905192017171 20:0.29019217968802513 21:-0.443462521751948 22:-0.47986689943815486 23:-0.42692242823662163 24:-0.8144222891881917 25:-0.9250881224666396 26:-0.9869770615972264 27:0.8909090909090909 28:-0.11565812724529478 29:-0.8547998403889482 30:-0.8312136971914723
0.0000000000000000 1:-0.9981584876089726 2:-0.3999999999999999 3:-0.7104072398190043 4:-0.6615384615384614 5:-0.3999999999999999 6:-0.7304526748971194 7:-0.8421052631578947 8:-0.7152446597351723 9:-0.8784722222222222 10:-0.6881159420289853 11:-0.9553058357808709 12:-0.438375350140056 13:-0.6062554576486465 14:-0.7356247577206357 15:-0.3176706827309238 16:-0.6294765840220384 17:-0.4231095565438959 18:-0.47170199576206373 19:-0.3872905192017171 20:0.29019217968802513 21:-0.443462521751948 22:-0.47986689943815486 23:-0.42692242823662163 24:-0.8144222891881917 25:-0.9250881224666396 26:-0.9869770615972264 27:0.8545454545454545 28:-0.1345985385191546 29:-0.8547998403889482 30:-0.8312136971914723
0.0000000000000000 1:-0.9090776059704406 2:-0.30000000000000016 3:-0.3613445378151262 4:-0.542857142857143 5:-0.30000000000000016 6:-0.8389450056116723 7:-0.956140350877193 8:-0.6347672450209828 9:-0.9431818181818181 10:-0.7494824016563146 11:-0.9598603839441536 12:-0.784313725490196 13:-0.576470588235294 14:-0.6325618911708135 15:-0.5889558232931728 16:-0.4862258953168044 17:-0.37615782522940666 18:-0.3256525638197145 19:-0.5433507124747544 20:-0.6146712153208926 21:-0.7804657157905189 22:-0.7328821310795746 23:-0.6015048789958111 24:-0.7674123929642276 25:-0.8864971552524844 26:-0.9869770615972264 27:0.8909090909090909 28:0.06738817379940998 29:-0.9583901555325324 30:-0.9309290998833065
0.0000000000000000 1:-0.9766666666666667 2:-0.3999999999999999 3:-0.7104072398190043 4:-0.6615384615384614 5:-0.3999999999999999 6:-0.7598290598290598 7:-0.8519736842105263 8:-0.5830512519755399 9:-0.9285714285714286 10:-0.6149068322981367 11:-0.9608174294882621 12:-0.4019607843137254 13:-0.7690805405827671 14:-0.8069518025584699 15:-0.20140562248996008 16:-0.6652892561983469 17:-0.5424511146997915 18:-0.4640471512770137 19:-0.6570061625783714 20:-0.6955383309089644 21:-0.910451105072358 22:-0.8106504111561756 23:-0.7443650750227617 24:-0.7839553451148301 25:-0.981619746631476 26:-1.0 27:0.8909090909090909 28:-0.08120004356428234 29:-0.9149358077066783 30:-0.888081432996226
0.0000000000000000 1:-0.9090776059704406 2:-0.30000000000000016 3:-0.3613445378151262 4:-0.542857142857143 5:-0.30000000000000016 6:-0.8389450056116723 7:-0.956140350877193 8:-0.6347672450209828 9:-0.9431818181818181 10:-0.7494824016563146 11:-0.9598603839441536 12:-0.784313725490196 13:-0.576470588235294 14:-0.6325618911708135 15:-0.5889558232931728 16:-0.4862258953168044 17:-0.37615782522940666 18:-0.3256525638197145 19:-0.5433507124747544 20:-0.6146712153208926 21:-0.7804657157905189 22:-0.7328821310795746 23:-0.6015048789958111 24:-0.7674123929642276 25:-0.8864971552524844 26:-0.9869770615972264 27:0.8909090909090909 28:0.06738817379940998 29:-0.9583901555325324 30:-0.9309290998833065
0.0000000000000000 1:-0.9766666666666667 2:-0.3999999999999999 3:-0.7104072398190043 4:-0.6615384615384614 5:-0.3999999999999999 6:-0.7598290598290598 7:-0.8519736842105263 8:-0.5830512519755399 9:-0.9285714285714286 10:-0.6149068322981367 11:-0.9608174294882621 12:-0.4019607843137254 13:-0.7690805405827671 14:-0.8069518025584699 15:-0.20140562248996008 16:-0.6652892561983469 17:-0.5362743442165028 18:-0.47583497053045176 19:-0.6570061625783714 20:-0.6955383309089644 21:-0.910451105072358 22:-0.8106504111561756 23:-0.7443650750227617 24:-0.7839553451148301 25:-0.981619746631476 26:-1.0 27:0.8545454545454545 28:-0.07234004722441933 29:-0.9149358077066783 30:-0.888081432996226
0.0000000000000000 1:-0.9981584876089726 2:-0.3999999999999999 3:-0.7104072398190043 4:-0.6615384615384614 5:-0.3999999999999999 6:-0.7304526748971194 7:-0.8421052631578947 8:-0.7152446597351723 9:-0.9198369565217391 10:-0.6881159420289853 11:-0.9540694907187054 12:-0.438375350140056 13:-0.6062554576486465 14:-0.7356247577206357 15:-0.3176706827309238 16:-0.6294765840220384 17:-0.3997593158652948 18:-0.42388585783761146 19:-0.3872905192017171 20:0.29019217968802513 21:-0.443462521751948 22:-0.47986689943815486 23:-0.42692242823662163 24:-0.8144222891881917 25:-0.9250881224666396 26:-0.9869770615972264 27:0.8909090909090909 28:-0.10986632832097742 29:-0.8587421394310154 30:-0.8363832366738493
0.0000000000000000 1:-0.9981584876089726 2:-0.3999999999999999 3:-0.7104072398190043 4:-0.6615384615384614 5:-0.3999999999999999 6:-0.7304526748971194 7:-0.8421052631578947 8:-0.7152446597351723 9:-0.8784722222222222 10:-0.6881159420289853 11:-0.9553058357808709 12:-0.438375350140056 13:-0.6062554576486465 14:-0.7356247577206357 15:-0.3176706827309238 16:-0.6294765840220384 17:-0.4096719049689679 18:-0.4586204812048049 19:-0.3872905192017171 20:0.29019217968802513 21:-0.443462521751948 22:-0.47986689943815486 23:-0.42692242823662163 24:-0.8144222891881917 25:-0.9250881224666396 26:-0.9869770615972264 27:0.9272727272727272 28:-0.12152359879834107 29:-0.8547998403889482 30:-0.8312136971914723
0.0000000000000000 1:-0.9752657689581858 2:-0.46250000000000013 3:-0.786764705882353 4:-0.7357142857142859 5:-0.46250000000000013 6:-0.917989417989418 7:-0.8538011695906433 8:-0.6482199029981726 9:-0.9375 10:-0.7727272727272727 11:-0.954473025267471 12:-0.4484905073140367 13:-0.6957307745793352 14:-0.8244507042253522 15:-0.4468540829986617 16:-0.6155494337312519 17:-0.49214343516657677 18:-0.4769639914927183 19:-0.6591235626443058 20:-0.49588105640277536 21:-0.8431627194031788 22:-0.822740685300465 23:-0.7127645194260852 24:-0.7864762295198218 25:-0.9353183593940612 26:-0.9888940008138948 27:0.5272727272727271 28:0.14295384917229992 29:-0.9008368717146427 30:-0.8964428560114152
0.0000000000000000 1:-0.9981584876089726 2:-0.3999999999999999 3:-0.7104072398190043 4:-0.6615384615384614 5:-0.3999999999999999 6:-0.7304526748971194 7:-0.8421052631578947 8:-0.7152446597351723 9:-0.8526785714285714 10:-0.6881159420289853 11:-0.9539267015706806 12:-0.438375350140056 13:-0.6062554576486465 14:-0.7356247577206357 15:-0.3176706827309238 16:-0.6294765840220384 17:-0.4069274134746419 18:-0.44888623647844406 19:-0.3872905192017171 20:0.29019217968802513 21:-0.443462521751948 22:-0.47986689943815486 23:-0.42692242823662163 24:-0.8144222891881917 25:-0.9250881224666396 26:-0.9869770615972264 27:0.7454545454545454 28:-0.09565180520559369 29:-0.8564550958011841 30:-0.8319472402839584
